Algorithm,μ,ν,MSE,F1-Score,Precision,Recall,Iterations
SPG,0.1,0.1,1.7562023766116522e-05,1.0,1.0,1.0,16
ANPG,200.0,0.05,1.0791313112347902e-05,1.0,1.0,1.0,20
GANPG,200.0,0.05,1.3882021798968453e-05,1.0,1.0,1.0,12
ANPG,200.0,0.08,1.0785207273061432e-05,1.0,1.0,1.0,20
GANPG,200.0,0.08,1.40290131842802e-05,1.0,1.0,1.0,13
ANPG,200.0,0.1,1.0782439762099038e-05,1.0,1.0,1.0,20
GANPG,200.0,0.1,1.2978999347074367e-05,1.0,1.0,1.0,11
ANPG,200.0,0.12,1.0781061674803516e-05,1.0,1.0,1.0,20
GANPG,200.0,0.12,1.3086199458734185e-05,1.0,1.0,1.0,11
ANPG,200.0,0.15,1.0780140472557306e-05,1.0,1.0,1.0,20
GANPG,200.0,0.15,1.3123254538798148e-05,1.0,1.0,1.0,11
